isim,takim,ülke,maas,pozisyon,yas,sezon,macsayisi,golsayisi,dakika,ilkonbir
Lorenzo Melgarejo,Racing Club,Paraguay,1000-10000,Defans,30-40,10,254,0-100,16598,184
Adrian Cuevas,Sabadell,Ýspanya,500-1000,Ortasaha,30-40,8,179,0-100,14658,139
Ardian Rexhepi,Tvaaker,Ýsveç,0-500,Ortasaha,25-30,8,143,0-100,7175,81
Rasmus Ryden,Östers,Ýsveç,0-500,Kaleci,30-40,6,33,0-100,2970,33
Stefan Karlsson,Östers,Ýsveç,0-500,Defans,30-40,11,217,0-100,18101,207
Manz Karlsson,Östers,Ýsveç,0-500,Defans,30-40,11,220,0-100,18743,209
Mario Vasilj,Östers,Ýsveç,0-500,Defans,30-40,9,155,0-100,11768,142
Alexander Henningsson,Östers,Ýsveç,0-500,Ortasaha,30-40,11,200,0-100,10173,112
Denis Velic,Östers,Sýrbistan,0-500,Ortasaha,30-40,9,113,0-100,7319,94
Emil Krafth,Newcastle United,Ýsveç,1000-10000,Defans,25-30,10,238,0-100,18132,198
Darijan Bojanic,Hammarby,Ýsveç,0-500,Ortasaha,25-30,9,208,0-100,13686,160
Freddy Borg,Höllvikens GIF,Ýsveç,0-500,Forvet,30-40,7,87,0-100,6284,69
Davor Blazevic,Hammarby,Ýsveç,0-500,Kaleci,25-30,8,88,0-100,7778,87
Pontus Asbrink,Akropolis IF,Ýsveç,0-500,Ortasaha,25-30,10,230,0-100,15534,182
Joakim Lindner,Varbergs BoIS FC,Ýsveç,0-500,Ortasaha,25-30,9,185,0-100,13693,154
Hampus Jönsson,IK Frej Taby,Ýsveç,0-500,Ortasaha,25-30,3,30,0-100,2299,24
Gheorghe Andronic,Speranta Nisporeni,Moldova,0-500,Ortasaha,25-30,12,150,0-100,9775,117
Loret Sadiku,Kasýmpaþa,Kosova,0-500,Ortasaha,25-30,11,261,0-100,21719,245
Viktor Claesson,Krasnodar,Ýsveç,10000-50000,Ortasaha,25-30,11,340,0-100,25026,287
Amethyst Bradley Ralani,Cape Town City,Güney Afrika,0-500,Forvet,30-40,10,196,0-100,14135,161
Panagiotis Vlachodimos,Dynamo Dresden,Yunanistan,500-1000,Forvet,25-30,10,184,0-100,10841,122
Dino Arslanagic,Gent,Belçika,1000-10000,Defans,25-30,9,217,0-100,17523,200
Macnelly Torres,Alianza Petrolera,Kolombiya,500-1000,Ortasaha,30-40,13,341,0-100,24306,285
Tommy Naurin,GIF Sundsvall,Ýsveç,0-500,Kaleci,30-40,9,127,0-100,11357,127
David Myrestam,GIF Sundsvall,Ýsveç,0-500,Defans,30-40,12,232,0-100,18581,214
Frederic Jonson,Brommapojkarna,Ýsveç,0-500,Defans,30-40,7,73,0-100,5898,63
Ari Freyr Skulason,KV Oostende,Ýzlanda,500-1000,Defans,30-40,13,335,0-100,27761,312
Nuri Mustafi,Bronshoj BK,Kuzey Makedonya,0-500,Ortasaha,30-40,6,72,0-100,4751,53
Denis dos Santos,GIF Sundsvall,Brezilya,0-500,Forvet,30-40,1,2,0-100,102,2
Fredrik Holster,Nyköpings BIS,Ýsveç,0-500,Ortasaha,30-40,10,161,0-100,12535,148
Emil Forsberg,RB Leipzig,Ýsveç,10000-50000,Ortasaha,25-30,12,360,0-100,25289,295
Victor Skold,Linköping City,Ýsveç,0-500,Ortasaha,30-40,10,190,0-100,10448,116
Petrit Zhubi,IK Oddevold,Ýsveç,0-500,Ortasaha,30-40,8,119,0-100,6964,73
Anton Sandberg-Magnusson,Örgryte,Ýsveç,0-500,Forvet,25-30,5,47,0-100,1634,25
Ludwig Augustinsson,Werder Bremen,Ýsveç,1000-10000,Defans,25-30,10,291,0-100,25086,284
Matteo Blomqvist-Zampi,Östers,Ýsveç,0-500,Forvet,30-40,4,30,0-100,549,10
Emre Güral,MKE Ankaragücü,Türkiye,0-500,Forvet,30-40,10,175,0-100,8760,84
Erik Johansson,Djurgarden,Ýsveç,1000-10000,Defans,30-40,12,336,0-100,28321,315
Tobias Carlsson,Falkenbergs FF,Ýsveç,0-500,Defans,30-40,9,183,0-100,14582,162
Christoffer Carlsson,Falkenbergs FF,Ýsveç,0-500,Ortasaha,30-40,11,272,0-100,21443,252
Johannes Vall,Ljungskile,Ýsveç,0-500,Ortasaha,25-30,11,167,0-100,9540,96
Mikael Boman,Halmstad,Ýsveç,0-500,Forvet,30-40,12,309,0-100,19062,229
Raby George,Trosa-Vagnharad SK,Ýsveç,0-500,Ortasaha,25-30,2,3,0-100,71,1
Sasa Sjanic,Gefle,Bosna-Hersek,0-500,Kaleci,30-40,3,34,0-100,3045,33
Linus Malmborg,Vasalund IF,Ýsveç,0-500,Defans,30-40,8,152,0-100,13378,149
Jens Jakobsson,Akropolis IF,Ýsveç,0-500,Ortasaha,30-40,9,163,0-100,11210,126
Simon Nilsson,Örgryte,Ýsveç,0-500,Ortasaha,25-30,9,153,0-100,10496,122
Levent Ayçiçek,Ýstanbulspor,Almanya,0-500,Ortasaha,25-30,9,189,0-100,12384,146
Samed Yeþil,Homberg,Türkiye,500-1000,Forvet,25-30,8,83,0-100,3633,40
Emre Can,Borussia Dortmund,Almanya,10000-50000,Ortasaha,25-30,9,327,0-100,23447,254
Robin Yalçýn,Sivasspor,Türkiye,500-1000,Ortasaha,25-30,9,236,0-100,17830,205
David Svensson,Falkenbergs FF,Ýsveç,0-500,Ortasaha,30-40,8,219,0-100,18465,214
Kaan Ayhan,Sassuolo,Türkiye,1000-10000,Defans,25-30,9,241,0-100,19001,211
Koray Günter,Hellas Verona,Almanya,1000-10000,Defans,25-30,8,122,0-100,8592,93
Koray Kaçýnoðlu,Rot Weiss Ahlen,Türkiye,0-500,Defans,25-30,8,160,0-100,12428,147
Okan Aydýn,Austria Klagenfurt,Türkiye,0-500,Forvet,25-30,9,182,0-100,12556,136
Danny Racchi,Kilmarnock,Ýngiltere,0-500,Ortasaha,30-40,2,40,0-100,2156,21
Patrick Ada,Kilmarnock,Kamerun,0-500,Defans,30-40,1,6,0-100,540,6
Luis Neto,Sporting CP,Portekiz,1000-10000,Defans,30-40,10,303,0-100,24927,274
Joao Dias,Uniao De Leiria,Portekiz,500-1000,Defans,30-40,10,234,0-100,20023,227
Scott Wiseman,Lincoln Red Imps,Ýngiltere,500-1000,Defans,30-40,10,354,0-100,28223,312
Matt Done,Rochdale,Ýngiltere,0-500,Ortasaha,30-40,10,362,0-100,24095,271
Atte Ranta,HIFK Helsinki,Finlandiya,0-500,Kaleci,25-30,1,13,0-100,1153,13
Alexander Michel,Al Khor,Ýsveç,0-500,Defans,25-30,11,193,0-100,15972,180
Alexander Lundin,Brommapojkarna,Ýsveç,0-500,Kaleci,25-30,8,97,0-100,8513,95
Anton Dahlström,FK Karlskrona,Ýsveç,0-500,Defans,30-40,7,72,0-100,4101,46
Simon Kroon,Östersunds FK,Ýsveç,0-500,Ortasaha,25-30,10,181,0-100,9158,95
Andreas Blomqvist,Norrköping,Ýsveç,0-500,Forvet,25-30,9,149,0-100,9997,110
Sofian Benzouien,F91 Dudelange,Fas,0-500,Forvet,30-40,8,54,0-100,2216,43
Jeffrey Rentmeister,Rochefort,Belçika,0-500,Defans,30-40,7,78,0-100,5273,56
Romain Olle Nicolle,F91 Dudelange,Fransa,0-500,Defans,30-40,2,5,0-100,285,3
Taimo Djassi,Hostert,Lüksemburg,0-500,Defans,30-40,4,55,0-100,3274,36
Emko Kalabic,Wiltz,Lüksemburg,0-500,Ortasaha,30-40,2,26,0-100,1451,15
Juncai Wang,Hostert,Lüksemburg,0-500,Ortasaha,30-40,7,80,0-100,4473,54
Amodou Abdullei,Aalen,Nijerya,0-500,Forvet,30-40,3,19,0-100,901,16
Bryan Melisse,Swift Hesperange,Fransa,0-500,Forvet,30-40,10,129,0-100,9512,116
Oriol Fite Castillo,FC Santa Coloma,Andorra,0-500,Defans,30-40,3,8,0-100,450,8
Eric Holland,Galway United (OLD),Ýrlanda,0-500,Defans,25-30,1,6,0-100,418,5
Gavin Brennan,Warrenpoint Town,Ýrlanda,0-500,Defans,30-40,8,165,0-100,12372,151
Luka Milunovic,Napredak Krusevac,Sýrbistan,500-1000,Forvet,25-30,11,184,0-100,9737,118
Romulo Oliveira,America RN,Brezilya,0-500,Forvet,30-40,9,105,0-100,5594,67
Yenez Cini,Valletta,Malta,0-500,Kaleci,25-30,6,48,0-100,4171,45
Nicholas Vella,Birkirkara,Malta,0-500,Kaleci,30-40,6,67,0-100,6003,67
Ian Azzopardi,Zejtun Corinthians,Malta,0-500,Defans,30-40,11,113,0-100,8513,102
Steve Borg,Gzira United,Malta,0-500,Defans,30-40,9,253,0-100,20864,244
Edmond Agius,Sliema Wanderers,Malta,0-500,Ortasaha,30-40,12,145,0-100,6980,77
Llywelyn Cremona,Gudja United,Malta,0-500,Ortasaha,25-30,7,140,0-100,7094,86
Denni Santos,Valletta,Brezilya,0-500,Ortasaha,30-40,6,111,0-100,5473,85
Fabio Luis,Academica,Brezilya,500-1000,Forvet,30-40,1,16,0-100,384,4
Marcel Essombe,Ermis Aradippou,Kamerun,500-1000,Forvet,30-40,7,175,0-100,9874,109
Inigo Lopez,SS Reyes,Ýspanya,0-500,Defans,30-40,9,172,0-100,14222,161
Jason Pearce,Charlton Athletic,Ýngiltere,500-1000,Defans,30-40,10,332,0-100,28181,312
Mikel Rico,Huesca,Ýspanya,0-500,Ortasaha,30-40,11,308,0-100,22043,253
Mathias Perktold,First Vienna,Avusturya,0-500,Ortasaha,30-40,2,4,0-100,273,2
Daniel Benitez,Poblense,Ýspanya,1000-10000,Ortasaha,30-40,8,115,0-100,7955,93
Oscar Perez,Caudal Deportivo,Ýspanya,500-1000,Ortasaha,30-40,5,62,0-100,3748,50
Hector Verdes,CD Castellon,Ýspanya,0-500,Defans,30-40,9,179,0-100,14075,170
Jordi Masip,Valladolid,Ýspanya,1000-10000,Kaleci,30-40,10,198,0-100,17633,196
Carles Planas,AEK Larnaca,Ýspanya,500-1000,Defans,25-30,10,196,0-100,15282,172
Rafinha,Barcelona,Brezilya,1000-10000,Ortasaha,25-30,10,270,0-100,17800,198
Benja,Hercules,Ýspanya,500-1000,Forvet,30-40,9,251,0-100,15589,166
Saul Berjon,Burgos,Ýspanya,500-1000,Ortasaha,30-40,11,318,0-100,20252,226
Cristian Tello,Real Betis,Ýspanya,1000-10000,Forvet,25-30,11,349,0-100,17578,169
Tigran Barseghyan,FC Astana,Ermenistan,500-1000,Forvet,25-30,8,229,0-100,17592,212
Samvel Melkonyan,Alashkert,Ermenistan,0-500,Ortasaha,30-40,10,107,0-100,7192,86
Arsen Balabekyan,Alashkert,Ermenistan,0-500,Forvet,30-40,8,74,0-100,2922,39
Aleksandre Kvakhadze,Dila Gori,Gürcistan,0-500,Defans,30-40,11,144,0-100,12047,139
Rekho,Ventspils,Gürcistan,0-500,Defans,30-40,11,203,0-100,16939,190
Giorgi Aburjania,Real Oviedo,Gürcistan,500-1000,Ortasaha,25-30,9,188,0-100,11142,120
Ivane Kandelaki,Samepo,Gürcistan,0-500,Defans,30-40,4,11,0-100,780,9
Hair Zeqiri,Kukesi,Arnavutluk,0-500,Ortasaha,30-40,7,112,0-100,8264,97
Pedro Jose Barrancos,Arroyo CP,Ýspanya,0-500,Forvet,30-40,2,2,0-100,27,1
Paulius Pocius,Siauliai,Litvanya,0-500,Kaleci,30-40,3,17,0-100,1501,17
Mindaugas Bitinas,Banga Gargzdai,Litvanya,0-500,Defans,25-30,3,15,0-100,1148,13
Karolis Urbaitis,Banga Gargzdai,Litvanya,0-500,Defans,30-40,10,92,0-100,7391,85
Andrius Lipskis,Dziugas Telsiai,Litvanya,0-500,Ortasaha,30-40,7,72,0-100,4645,57
Bojan Pavlovic,Borac Banja Luka,Sýrbistan,0-500,Kaleci,30-40,10,209,0-100,18310,206
Gara Garayev,Qarabað Aðdam,Azerbaycan,0-500,Ortasaha,25-30,4,21,0-100,1604,16
Afran Ismayilov,Sebail FK,Azerbaycan,0-500,Ortasaha,30-40,10,235,0-100,12640,147
Namiq Yusifov,Qarabað Aðdam,Azerbaycan,0-500,Ortasaha,30-40,5,75,0-100,3971,41
Vüqar Nadirov,Sebail FK,Azerbaycan,0-500,Forvet,30-40,11,168,0-100,9211,103
Ömer Alp Kulga,Gümüþhanespor,Türkiye,0-500,Defans,30-40,12,182,0-100,14951,165
Zouhir Benouahi,Khazar Lankaran,Fas,0-500,Ortasaha,30-40,2,42,0-100,2243,32
Usim Nduka,Simurq,Azerbaycan,0-500,Defans,30-40,4,19,0-100,1450,17
Santos Amador,Petrolero Yacuiba,Bolivya,0-500,Defans,30-40,4,51,0-100,3972,46
Takashi Usami,Gamba Osaka,Japonya,1000-10000,Ortasaha,25-30,11,299,100-200,18897,230
Luis Gutierrez,Bolivar,Bolivya,0-500,Defans,30-40,10,267,0-100,22504,253
Miguel Hoyos,Nacional Potosi,Bolivya,0-500,Defans,30-40,7,114,0-100,9580,111
Simas Skinderis,Gorodeya,Litvanya,0-500,Kaleci,30-40,6,25,0-100,2187,25
Edemir Rodriguez,Bolivar,Bolivya,0-500,Defans,30-40,1,8,0-100,719,8
Christian Vargas,Aurora,Bolivya,0-500,Defans,30-40,9,181,0-100,13652,156
Jhasmany Campos,The Strongest,Bolivya,500-1000,Ortasaha,30-40,13,262,0-100,15530,195
Rudy Cardozo,The Strongest,Bolivya,0-500,Ortasaha,30-40,13,297,0-100,17265,200
Jose Chavez,Royal Pari,Bolivya,500-1000,Ortasaha,30-40,10,201,0-100,13686,159
Sergei Gigevich,Orsha,Belarus,0-500,Ortasaha,30-40,6,72,0-100,3524,37
Sergey Pushnyakov,Gorodeya,Belarus,0-500,Ortasaha,25-30,9,170,0-100,11971,137
Joselito Vaca,Blooming,Bolivya,0-500,Ortasaha,30-40,10,255,0-100,17848,211
Alcides Pena,Santa Cruz,Bolivya,0-500,Forvet,30-40,11,154,0-100,8313,103
Adama Soro,Neman Grodno,Belarus,0-500,Ortasaha,30-40,5,42,0-100,2790,34
Andrey Khachaturyan,Torpedo Zhodino,Belarus,0-500,Ortasaha,30-40,11,176,0-100,14305,164
Artem Rakhmanov,Rukh Brest,Belarus,0-500,Ortasaha,30-40,10,179,0-100,14511,166
Aleksandr Sachivko,Shakhtyor Soligorsk,Belarus,0-500,Defans,30-40,10,210,0-100,17852,207
Juan Valencia,Santa Fe,Kolombiya,500-1000,Defans,30-40,10,204,0-100,14142,158
Igor Voronkov,Arsenal Dzyarzhynsk,Ukrayna,0-500,Ortasaha,30-40,11,196,0-100,14769,176
Gustavo Bolivar,Independiente,Kolombiya,500-1000,Ortasaha,30-40,8,156,0-100,12715,145
Andrey Sheryakov,Uzda,Belarus,0-500,Forvet,30-40,7,103,0-100,7727,94
Danny Carvajal,Ryukyu,Kosta Rika,500-1000,Kaleci,30-40,8,200,0-100,17956,200
Leonel Moreira,Alajuelense,Kosta Rika,0-500,Kaleci,30-40,11,256,0-100,22861,254
Johnny Acosta,Deportivo Saprissa,Kosta Rika,0-500,Defans,30-40,11,272,0-100,22839,261
Francisco Calvo,Chicago Fire,Kosta Rika,500-1000,Defans,25-30,10,272,0-100,21490,253
Oscar Duarte,Levante,Kosta Rika,500-1000,Defans,30-40,11,254,0-100,20890,236
Kevin Fajardo,ADR Jicaral,Kosta Rika,0-500,Defans,30-40,8,214,0-100,17490,207
Pedro Leal,Limon FC,Kosta Rika,0-500,Defans,30-40,8,152,0-100,12193,138
Diego Madrigal,San Carlos,Kosta Rika,500-1000,Forvet,30-40,9,159,0-100,9220,111
Heiner Mora,Perez Zeledon,Kosta Rika,0-500,Defans,30-40,10,206,0-100,15643,181
Jose Salvatierra,Alajuelense,Kosta Rika,0-500,Defans,30-40,11,166,0-100,13010,148
Jose Cubero,Alajuelense,Kosta Rika,0-500,Ortasaha,30-40,11,228,0-100,15941,176
Jorge Gatgens,Malacateco,Kosta Rika,0-500,Ortasaha,30-40,8,167,0-100,10788,128
Allen Guevara,CS Cartagines,Kosta Rika,0-500,Forvet,30-40,11,257,0-100,15207,177
David Guzman,Deportivo Saprissa,Kosta Rika,500-1000,Ortasaha,30-40,9,250,0-100,17179,211
Luis Valle,UCR,Kosta Rika,0-500,Ortasaha,30-40,9,153,0-100,10915,124
Hansell Arauz,Grecia,Kosta Rika,0-500,Forvet,30-40,8,141,0-100,9010,103
Joel Campbell,Leon,Kosta Rika,1000-10000,Ortasaha,25-30,11,369,0-100,21616,240
Cesar Elizondo,Perez Zeledon,Kosta Rika,500-1000,Forvet,30-40,9,161,0-100,10344,121
Josue Martinez,Antigua GFC,Kosta Rika,0-500,Forvet,30-40,11,211,0-100,10784,125
Jesus Duenas,Tigres UANL,Meksika,1000-10000,Ortasaha,30-40,10,391,0-100,29574,327
Roberto Inglese,Parma,Ýtalya,10000-50000,Forvet,25-30,8,200,0-100,11365,126
Tome Mendes,Castro Daire,Portekiz,0-500,Ortasaha,30-40,7,147,0-100,12274,140
Nuno Silva,Olhanense,Portekiz,0-500,Ortasaha,30-40,2,7,0-100,92,6
Roberto Guitto,Gozzano,Ýtalya,0-500,Ortasaha,25-30,6,70,0-100,4923,51
Aleksandar Trajkovski,Mallorca,Kuzey Makedonya,1000-10000,Ortasaha,25-30,11,337,0-100,18912,207
Andrea Caroppo,Renate,Ýtalya,0-500,Kaleci,30-40,2,19,0-100,1657,18
Mickael Doudet,Etoile Carouge,Fransa,0-500,Defans,30-40,1,3,0-100,270,3
Ismael Benegas,Wilstermann,Paraguay,0-500,Defans,30-40,9,198,0-100,16334,183
Ivan Piris,Libertad,Paraguay,1000-10000,Defans,30-40,11,309,0-100,24911,280
Julian Benitez,Nacional Asuncion,Paraguay,500-1000,Ortasaha,30-40,9,223,0-100,14053,155
Luis Cardozo,Libertad,Paraguay,500-1000,Ortasaha,30-40,9,238,0-100,20098,227
Osmar Molinas,12 de Octubre,Paraguay,500-1000,Ortasaha,30-40,9,193,0-100,13731,155
Miguel Samudio,Club Olimpia,Paraguay,1000-10000,Defans,30-40,9,261,0-100,20564,238
Damien Moulin,Côte Bleue,Fransa,0-500,Defans,30-40,6,68,0-100,5572,64
Valeri Smelkov,FC Lokomotiv,Estonya,0-500,Kaleci,30-40,2,10,0-100,717,8
Donatas Strockis,Kruoja Pakruojis,Litvanya,0-500,Defans,30-40,5,50,0-100,4228,47
Viktor Plotnikov,Narva Trans,Estonya,0-500,Ortasaha,30-40,10,185,0-100,11949,141
Okan Derici,Ümraniyespor,Türkiye,0-500,Ortasaha,25-30,10,213,0-100,14294,163
Maximo Banguera,El Nacional,Ekvador,1000-10000,Kaleci,30-40,10,277,0-100,24599,275
Alexander Dominguez,Velez Sarsfield,Ekvador,1000-10000,Kaleci,30-40,12,209,0-100,18619,207
Gabriel Achilier,Monarcas Morelia,Ekvador,1000-10000,Defans,30-40,11,297,0-100,24424,283
Geovanny Caicedo,Fuerza Amarilla,Ekvador,500-1000,Defans,30-40,5,81,0-100,6420,77
Diego Calderon,Deportivo Cuenca,Ekvador,1000-10000,Defans,30-40,7,68,0-100,5599,64
Luis Checa,Clan Juvenil,Ekvador,0-500,Defans,30-40,7,108,0-100,8806,103
Frickson Erazo,9 de Octubre,Ekvador,1000-10000,Defans,30-40,9,173,0-100,14775,165
Oswaldo Minda,Barcelona SC,Ekvador,0-500,Ortasaha,30-40,10,161,0-100,11730,134
David Quiroz,Deportivo Quito,Ekvador,500-1000,Ortasaha,30-40,5,22,0-100,1364,16
Rodrigo Munoz,Cerro Porteno,Uruguay,500-1000,Kaleci,30-40,10,291,0-100,25881,291
Sebastian Coates,Sporting CP,Uruguay,1000-10000,Defans,30-40,13,332,0-100,27941,310
Paulo Garces,Curico Unido,Þili,0-500,Kaleci,30-40,9,153,0-100,13271,148
Raul Olivares,La Serena,Þili,0-500,Kaleci,30-40,9,171,0-100,15278,172
Bruno Romo,FC Juarez,Þili,0-500,Defans,30-40,10,188,0-100,16104,183
Fernando Meneses,Melipilla,Þili,1000-10000,Ortasaha,30-40,9,174,0-100,10443,126
Carlos Munoz,Antofagasta,Þili,500-1000,Forvet,30-40,10,154,0-100,9690,113
Diego Rubio,Colorado Rapids,Þili,500-1000,Forvet,25-30,10,220,0-100,11863,138
Salomon Libman,UTC Cajamarca,Peru,0-500,Kaleci,30-40,11,216,0-100,19440,216
Orlando Contreras,Academia Cantolao,Peru,0-500,Defans,30-40,10,149,0-100,12370,135
Aldo Corzo,Universitario,Peru,0-500,Defans,30-40,10,239,0-100,20394,229
Jesus Rabanal,Alianza Lima,Peru,0-500,Defans,30-40,1,5,0-100,95,3
Renzo Revoredo,Sporting Cristal,Peru,0-500,Defans,30-40,11,265,0-100,21063,238
Walter Vilchez,Comerciantes Unidos,Peru,0-500,Defans,30-40,11,125,0-100,10797,122
Adan Balbin,Sport Boys,Peru,0-500,Ortasaha,30-40,8,129,0-100,9691,109
Andre Carrillo,Al Hilal Riyadh,Peru,1000-10000,Forvet,25-30,12,376,0-100,23668,261
Rinaldo Cruzado,Alianza Lima,Peru,500-1000,Ortasaha,30-40,10,272,0-100,18949,219
Christian Cueva,Yeni Malatyaspor,Peru,1000-10000,Ortasaha,25-30,12,296,0-100,19445,224
Antonio Gonzales,Sport Rosario,Peru,0-500,Ortasaha,30-40,8,102,0-100,6471,92
Michael Guevara,Union Huaral,Peru,0-500,Ortasaha,30-40,7,86,0-100,5886,68
Jean Tragodara,Cesar Vallejo,Peru,0-500,Ortasaha,30-40,1,3,0-100,123,2
Yoshimar Yotun,Cruz Azul,Peru,500-1000,Ortasaha,30-40,12,308,0-100,23131,262
Luis Advincula,Rayo Vallecano,Peru,1000-10000,Defans,30-40,12,302,0-100,22701,256
Irven Avila,Melgar,Peru,500-1000,Forvet,30-40,10,275,100-200,17149,215
Raul Ruidiaz,Seattle Sounders,Peru,1000-10000,Forvet,30-40,12,295,100-200,19502,235
Andreas Korte,Uerdingen,Almanya,0-500,Defans,30-40,1,9,0-100,571,7
Ever Arsenio Guzman,Hartford Athletic,Meksika,500-1000,Forvet,30-40,9,173,0-100,9131,110
Kevin Maek,Homburg,Almanya,0-500,Ortasaha,30-40,7,142,0-100,11128,134
Aritz Borda,Real Union,Ýspanya,0-500,Defans,30-40,10,168,0-100,13837,160
Antonino Ragusa,Brescia,Ýtalya,500-1000,Forvet,30-40,10,289,0-100,17951,196
Atilla Yýldýrým,Tarsus Ýdman Yurdu,Türkiye,0-500,Forvet,30-40,10,217,0-100,12672,135
Andrea Mei,Fano,Ýtalya,0-500,Defans,30-40,1,11,0-100,772,9
Luca Tremolada,Pordenone Calcio,Ýtalya,1000-10000,Ortasaha,25-30,7,195,0-100,11368,137
Emiliano Massimo,Trastevere Calcio,Ýtalya,0-500,Ortasaha,30-40,4,51,0-100,3513,43
Wilfred Osuji,Modena,Nijerya,500-1000,Ortasaha,30-40,8,126,0-100,8208,87
Cristopher Pousa,Engordany,Andorra,0-500,Ortasaha,25-30,6,28,0-100,1879,24
Damjan Shishkovski,Doxa,Kuzey Makedonya,0-500,Kaleci,25-30,8,150,0-100,13084,146
Albert Mercade,FC Santa Coloma,Ýspanya,0-500,Forvet,30-40,9,20,0-100,658,12
Igor Stefanovic,Leixoes,Sýrbistan,0-500,Kaleci,30-40,8,99,0-100,8733,97
Stole Dimitrievski,Rayo Vallecano,Kuzey Makedonya,500-1000,Kaleci,25-30,9,213,0-100,19120,213
Risto Mitrevski,Alashkert,Kuzey Makedonya,0-500,Defans,25-30,8,146,0-100,11530,132
Egzon Belica,Partizani Tirana,Kuzey Makedonya,0-500,Defans,30-40,7,189,0-100,16092,181
Darko Micevski,Vardar Skopje,Kuzey Makedonya,0-500,Ortasaha,25-30,9,203,0-100,16329,185
Marjan Andonov,Renova,Kuzey Makedonya,0-500,Forvet,30-40,2,6,0-100,248,4
Milovan Petrovic,Vardar Skopje,Kuzey Makedonya,0-500,Ortasaha,30-40,9,186,0-100,14578,165
Viktor Angelov,Siroki Brijeg,Kuzey Makedonya,0-500,Forvet,25-30,9,161,0-100,9485,117
Filip Petkovski,Vardar Skopje,Kuzey Makedonya,0-500,Forvet,30-40,8,124,0-100,6339,67
Branislav Danilovic,Diosgyor,Sýrbistan,0-500,Kaleci,30-40,10,168,0-100,14969,167
Lazar Cirkovic,Luzern,Sýrbistan,500-1000,Defans,25-30,7,117,0-100,9635,104
Nikola Lekovic,Napredak Krusevac,Sýrbistan,0-500,Defans,30-40,10,182,0-100,15041,169
Uros Vitas,Partizan Belgrade,Sýrbistan,0-500,Defans,25-30,7,118,0-100,9443,110
Milan Mitrovic,Adana Demirspor,Sýrbistan,0-500,Defans,30-40,9,209,0-100,17452,194
Aleksandar Pantic,Doxa,Sýrbistan,1000-10000,Defans,25-30,7,123,0-100,10008,108
Nikola Raspopovic,Felda United,Sýrbistan,500-1000,Defans,30-40,8,141,0-100,11541,131
Nemanja Andric,Kaposvari Rakoczi,Sýrbistan,0-500,Forvet,30-40,11,262,0-100,16200,191
Luka Milivojevic,Crystal Palace,Sýrbistan,10000-50000,Ortasaha,25-30,11,322,0-100,24990,295
Jovan Nikolic,Mladost Ljeskopolje,Sýrbistan,0-500,Ortasaha,25-30,10,210,0-100,18020,203
Uros Delic,Kyzyl-Zhar,Karadað,0-500,Ortasaha,30-40,8,153,0-100,10290,114
Andrej Mrkela,ACS Poli Timisoara,Sýrbistan,0-500,Ortasaha,25-30,8,102,0-100,5601,73
Marko Stanojevic,Nasaf Qarshi,Sýrbistan,500-1000,Ortasaha,30-40,11,195,0-100,14045,172
Predrag Luka,Temnic 1924,Sýrbistan,0-500,Forvet,30-40,7,78,0-100,3468,42
Nemanja Kojic,Radnicki Nis,Sýrbistan,0-500,Forvet,30-40,11,198,0-100,11220,137
Filip Malbasic,Cadiz,Sýrbistan,1000-10000,Ortasaha,25-30,9,227,0-100,14307,168
Nikola Stojiljkovic,Farense,Sýrbistan,500-1000,Forvet,25-30,10,252,0-100,14675,185
Vladimir Mikhaylovskiy,Tre Penne,Rusya,0-500,Defans,30-40,4,8,0-100,720,8
Matteo Rossi,Faetano,San Marino,0-500,Ortasaha,30-40,6,11,0-100,692,7
Maris Eltermanis,Alta,Letonya,0-500,Kaleci,30-40,7,25,0-100,2081,24
Giorgi Chikradze,Daugava Daugavpils,Gürcistan,0-500,Ortasaha,30-40,2,3,0-100,270,3
Olegs Timofejevs,Riga FC,Letonya,0-500,Defans,30-40,7,101,0-100,8776,97
Valerijs Afanasjevs,BFC Daugavpils,Letonya,0-500,Ortasaha,30-40,11,134,0-100,9063,106
Andrejs Kovaljovs,Daugava Daugavpils,Letonya,0-500,Ortasaha,30-40,4,9,0-100,575,6
Jurijs Sokolovs,BFC Daugavpils,Letonya,0-500,Ortasaha,30-40,10,94,0-100,7899,91
Vladimirs Volkovs,BFC Daugavpils,Letonya,0-500,Forvet,30-40,5,52,0-100,3880,43
Edgars Jermolajevs,Valmiera / BSS,Letonya,0-500,Ortasaha,25-30,10,74,0-100,4613,50
Mamuka Gongadze,Daugava Daugavpils,Gürcistan,0-500,Forvet,30-40,4,10,0-100,494,9
Minor Alvarez,Limon FC,Kosta Rika,0-500,Kaleci,30-40,6,65,0-100,5850,65
Sergio Garcia,Veracruz,Meksika,500-1000,Kaleci,30-40,7,91,0-100,8156,91
Johanna Omolo,Cercle Brugge,Kenya,500-1000,Ortasaha,30-40,10,183,0-100,13153,153
Smail Morabit,Sarre-Union,Fransa,0-500,Forvet,30-40,8,122,0-100,7359,81
Andres Koogas,Nomme JK Kalju,Estonya,0-500,Defans,30-40,4,14,0-100,817,14
Ken Kallaste,FC Flora Tallinn,Estonya,0-500,Defans,30-40,12,220,0-100,17266,204
Denis Vnukov,TJK Legion,Estonya,0-500,Ortasaha,25-30,7,160,0-100,11782,135
